feat_name_table,feat_name_segworm
worm_dwelling,path.duration.worm
head_dwelling,path.duration.head
midbody_dwelling,path.duration.midbody
tail_dwelling,path.duration.tail
length,morphology.length
head_width,morphology.width.head
midbody_width,morphology.width.midbody
tail_width,morphology.width.tail
area,morphology.area
area_length_ratio,morphology.areaPerLength
width_length_ratio,morphology.widthPerLength
head_bend_mean,posture.bends.head.mean
neck_bend_mean,posture.bends.neck.mean
midbody_bend_mean,posture.bends.midbody.mean
hips_bend_mean,posture.bends.hips.mean
tail_bend_mean,posture.bends.tail.mean
head_bend_sd,posture.bends.head.std_dev
neck_bend_sd,posture.bends.neck.std_dev
midbody_bend_sd,posture.bends.midbody.std_dev
hips_bend_sd,posture.bends.hips.std_dev
tail_bend_sd,posture.bends.tail.std_dev
max_amplitude,posture.amplitude.max
amplitude_ratio,posture.amplitude.ratio
primary_wavelength,posture.wavelength.primary
secondary_wavelength,posture.wavelength.secondary
track_length,posture.tracklength
eccentricity,posture.eccentricity
bend_count,posture.kinks
tail_to_head_orientation,posture.directions.tail2head
head_orientation,posture.directions.head
tail_orientation,posture.directions.tail
eigen_projection_1,posture.eigen_projection0
eigen_projection_2,posture.eigen_projection1
eigen_projection_3,posture.eigen_projection2
eigen_projection_4,posture.eigen_projection3
eigen_projection_5,posture.eigen_projection4
eigen_projection_6,posture.eigen_projection5
head_tip_speed,locomotion.velocity.head_tip.speed
head_speed,locomotion.velocity.head.speed
midbody_speed,locomotion.velocity.midbody.speed
tail_speed,locomotion.velocity.tail.speed
tail_tip_speed,locomotion.velocity.tail_tip.speed
head_tip_motion_direction,locomotion.velocity.head_tip.direction
head_motion_direction,locomotion.velocity.head.direction
midbody_motion_direction,locomotion.velocity.midbody.direction
tail_motion_direction,locomotion.velocity.tail.direction
tail_tip_motion_direction,locomotion.velocity.tail_tip.direction
foraging_amplitude,locomotion.foraging_bends.amplitude
foraging_speed,locomotion.foraging_bends.angle_speed
head_crawling_amplitude,locomotion.crawling_bends.head.amplitude
midbody_crawling_amplitude,locomotion.crawling_bends.midbody.amplitude
tail_crawling_amplitude,locomotion.crawling_bends.tail.amplitude
head_crawling_frequency,locomotion.crawling_bends.head.frequency
midbody_crawling_frequency,locomotion.crawling_bends.midbody.frequency
tail_crawling_frequency,locomotion.crawling_bends.tail.frequency
path_range,path.range
path_curvature,path.curvature
coil_time,posture.coils.event_durations
inter_coil_time,posture.coils.time_between_events
inter_coil_distance,posture.coils.distance_between_events
coils_frequency,posture.coils.frequency
coils_time_ratio,posture.coils.time_ratio
omega_turn_time,locomotion.omega_turns.event_durations
inter_omega_time,locomotion.omega_turns.time_between_events
inter_omega_distance,locomotion.omega_turns.distance_between_events
omega_turns_frequency,locomotion.omega_turns.frequency
omega_turns_time_ratio,locomotion.omega_turns.time_ratio
upsilon_turn_time,locomotion.upsilon_turns.event_durations
inter_upsilon_time,locomotion.upsilon_turns.time_between_events
inter_upsilon_distance,locomotion.upsilon_turns.distance_between_events
upsilon_turns_frequency,locomotion.upsilon_turns.frequency
upsilon_turns_time_ratio,locomotion.upsilon_turns.time_ratio
forward_time,locomotion.motion_events.forward.event_durations
forward_distance,locomotion.motion_events.forward.distance_during_events
inter_forward_time,locomotion.motion_events.forward.time_between_events
inter_forward_distance,locomotion.motion_events.forward.distance_between_events
forward_motion_frequency,locomotion.motion_events.forward.frequency
forward_motion_time_ratio,locomotion.motion_events.forward.time_ratio
forward_motion_distance_ratio,locomotion.motion_events.forward.data_ratio
paused_time,locomotion.motion_events.paused.event_durations
paused_distance,locomotion.motion_events.paused.distance_during_events
inter_paused_time,locomotion.motion_events.paused.time_between_events
inter_paused_distance,locomotion.motion_events.paused.distance_between_events
paused_motion_frequency,locomotion.motion_events.paused.frequency
paused_motion_time_ratio,locomotion.motion_events.paused.time_ratio
paused_motion_distance_ratio,locomotion.motion_events.paused.data_ratio
backward_time,locomotion.motion_events.backward.event_durations
backward_distance,locomotion.motion_events.backward.distance_during_events
inter_backward_time,locomotion.motion_events.backward.time_between_events
inter_backward_distance,locomotion.motion_events.backward.distance_between_events
backward_motion_frequency,locomotion.motion_events.backward.frequency
backward_motion_time_ratio,locomotion.motion_events.backward.time_ratio
backward_motion_distance_ratio,locomotion.motion_events.backward.data_ratio
