feat_name_table,feat_name_obj,is_time_series,is_signed,units
worm_dwelling,path.duration.worm,0,0,seconds
head_dwelling,path.duration.head,0,0,seconds
midbody_dwelling,path.duration.midbody,0,0,seconds
tail_dwelling,path.duration.tail,0,0,seconds
length,morphology.length,1,0,microns
head_width,morphology.width.head,1,0,microns
midbody_width,morphology.width.midbody,1,0,microns
tail_width,morphology.width.tail,1,0,microns
area,morphology.area,1,0,microns^2
area_length_ratio,morphology.area_per_length,1,0,microns
width_length_ratio,morphology.width_per_length,1,0,no units
head_bend_mean,posture.bends.head.mean,1,1,degrees
neck_bend_mean,posture.bends.neck.mean,1,1,degrees
midbody_bend_mean,posture.bends.midbody.mean,1,1,degrees
hips_bend_mean,posture.bends.hips.mean,1,1,degrees
tail_bend_mean,posture.bends.tail.mean,1,1,degrees
head_bend_sd,posture.bends.head.std_dev,1,1,degrees
neck_bend_sd,posture.bends.neck.std_dev,1,1,degrees
midbody_bend_sd,posture.bends.midbody.std_dev,1,1,degrees
hips_bend_sd,posture.bends.hips.std_dev,1,1,degrees
tail_bend_sd,posture.bends.tail.std_dev,1,1,degrees
max_amplitude,posture.amplitude_max,1,0,microns
amplitude_ratio,posture.amplitude_ratio,1,0,no units
primary_wavelength,posture.primary_wavelength,1,0,microns
secondary_wavelength,posture.secondary_wavelength,1,0,microns
track_length,posture.track_length,1,0,microns
eccentricity,posture.eccentricity,1,0,no units
bend_count,posture.kinks,1,0,counts
tail_to_head_orientation,posture.directions.tail2head,1,1,degrees
head_orientation,posture.directions.head,1,1,degrees
tail_orientation,posture.directions.tail,1,1,degrees
eigen_projection_1,posture.eigen_projection0,1,1,no units
eigen_projection_2,posture.eigen_projection1,1,1,no units
eigen_projection_3,posture.eigen_projection2,1,1,no units
eigen_projection_4,posture.eigen_projection3,1,1,no units
eigen_projection_5,posture.eigen_projection4,1,1,no units
eigen_projection_6,posture.eigen_projection5,1,1,no units
head_tip_speed,locomotion.velocity.head_tip.speed,1,1,microns/seconds
head_speed,locomotion.velocity.head.speed,1,1,microns/seconds
midbody_speed,locomotion.velocity.midbody.speed,1,1,microns/seconds
tail_speed,locomotion.velocity.tail.speed,1,1,microns/seconds
tail_tip_speed,locomotion.velocity.tail_tip.speed,1,1,microns/seconds
head_tip_motion_direction,locomotion.velocity.head_tip.direction,1,1,degrees/seconds
head_motion_direction,locomotion.velocity.head.direction,1,1,degrees/seconds
midbody_motion_direction,locomotion.velocity.midbody.direction,1,1,degrees/seconds
tail_motion_direction,locomotion.velocity.tail.direction,1,1,degrees/seconds
tail_tip_motion_direction,locomotion.velocity.tail_tip.direction,1,1,degrees/seconds
foraging_amplitude,locomotion.foraging_bends.amplitude,1,1,microns
foraging_speed,locomotion.foraging_bends.angle_speed,1,1,degrees/seconds
head_crawling_amplitude,locomotion.crawling_bends.head.amplitude,1,1,degrees
midbody_crawling_amplitude,locomotion.crawling_bends.midbody.amplitude,1,1,degrees
tail_crawling_amplitude,locomotion.crawling_bends.tail.amplitude,1,1,degrees
head_crawling_frequency,locomotion.crawling_bends.head.frequency,1,1,hz
midbody_crawling_frequency,locomotion.crawling_bends.midbody.frequency,1,1,hz
tail_crawling_frequency,locomotion.crawling_bends.tail.frequency,1,1,hz
path_range,path.range,1,0,microns
path_curvature,path.curvature,1,1,radians/microns
coil_time,posture.coils.event_durations,0,0,seconds
inter_coil_time,posture.coils.time_between_events,0,0,seconds
inter_coil_distance,posture.coils.distance_between_events,0,0,microns
coils_frequency,posture.coils.frequency,0,0,hz
coils_time_ratio,posture.coils.time_ratio,0,0,no units
omega_turn_time,locomotion.omega_turns.event_durations,0,1,seconds
inter_omega_time,locomotion.omega_turns.time_between_events,0,1,seconds
inter_omega_distance,locomotion.omega_turns.distance_between_events,0,1,microns
omega_turns_frequency,locomotion.omega_turns.frequency,0,0,hz
omega_turns_time_ratio,locomotion.omega_turns.time_ratio,0,0,no units
upsilon_turn_time,locomotion.upsilon_turns.event_durations,0,1,seconds
inter_upsilon_time,locomotion.upsilon_turns.time_between_events,0,1,seconds
inter_upsilon_distance,locomotion.upsilon_turns.distance_between_events,0,1,microns
upsilon_turns_frequency,locomotion.upsilon_turns.frequency,0,0,hz
upsilon_turns_time_ratio,locomotion.upsilon_turns.time_ratio,0,0,no units
forward_time,locomotion.motion_events.forward.event_durations,0,0,seconds
forward_distance,locomotion.motion_events.forward.distance_during_events,0,0,microns
inter_forward_time,locomotion.motion_events.forward.time_between_events,0,0,seconds
inter_forward_distance,locomotion.motion_events.forward.distance_between_events,0,0,microns
forward_motion_frequency,locomotion.motion_events.forward.frequency,0,0,hz
forward_motion_time_ratio,locomotion.motion_events.forward.time_ratio,0,0,no units
forward_motion_distance_ratio,locomotion.motion_events.forward.data_ratio,0,0,no units
paused_time,locomotion.motion_events.paused.event_durations,0,0,seconds
paused_distance,locomotion.motion_events.paused.distance_during_events,0,0,microns
inter_paused_time,locomotion.motion_events.paused.time_between_events,0,0,seconds
inter_paused_distance,locomotion.motion_events.paused.distance_between_events,0,0,microns
paused_motion_frequency,locomotion.motion_events.paused.frequency,0,0,hz
paused_motion_time_ratio,locomotion.motion_events.paused.time_ratio,0,0,no units
paused_motion_distance_ratio,locomotion.motion_events.paused.data_ratio,0,0,no units
backward_time,locomotion.motion_events.backward.event_durations,0,0,seconds
backward_distance,locomotion.motion_events.backward.distance_during_events,0,0,microns
inter_backward_time,locomotion.motion_events.backward.time_between_events,0,0,seconds
inter_backward_distance,locomotion.motion_events.backward.distance_between_events,0,0,microns
backward_motion_frequency,locomotion.motion_events.backward.frequency,0,0,hz
backward_motion_time_ratio,locomotion.motion_events.backward.time_ratio,0,0,no units
backward_motion_distance_ratio,locomotion.motion_events.backward.data_ratio,0,0,no units
