Capture_Ch1_28072015_120247 Compressing video. Total time = 0:00:41, fps = nan; Frame 500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:00:41, fps = nan; Frame 500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:00:41, fps = nan; Frame 500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:00:41, fps = nan; Frame 500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:00:41, fps = nan; Frame 500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:00:42, fps = nan; Frame 500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:01:21, fps = 12.3; Frame 1000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:01:22, fps = 12.2; Frame 1000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:01:22, fps = 12.3; Frame 1000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:01:23, fps = 12.0; Frame 1000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:01:23, fps = 12.0; Frame 1000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:01:23, fps = 12.0; Frame 1000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:02:02, fps = 12.2; Frame 1500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:02:03, fps = 12.1; Frame 1500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:02:04, fps = 11.9; Frame 1500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:02:04, fps = 12.2; Frame 1500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:02:05, fps = 12.1; Frame 1500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:02:05, fps = 12.0; Frame 1500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:02:43, fps = 12.3; Frame 2000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:02:44, fps = 12.2; Frame 2000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:02:45, fps = 12.2; Frame 2000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:02:45, fps = 12.3; Frame 2000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:02:45, fps = 12.1; Frame 2000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:02:47, fps = 12.0; Frame 2000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:03:25, fps = 11.9; Frame 2500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:03:25, fps = 12.2; Frame 2500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:03:27, fps = 12.0; Frame 2500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:03:27, fps = 12.1; Frame 2500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:03:27, fps = 12.0; Frame 2500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:03:29, fps = 11.8; Frame 2500 
[mjpeg @ 0x7fe26b8a4000] No JPEG data found in image
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:04:06, fps = 12.1; Frame 3000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:04:07, fps = 12.0; Frame 3000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:04:07, fps = 12.3; Frame 3000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:04:09, fps = 11.9; Frame 3000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:04:09, fps = 11.9; Frame 3000 
