file_name,fogginess,exp_type,channel,position,camera_focus
Pos2_Ch1_28012016_182629.hdf5,2,N2 100ug/ml Cisplatin,1,2,19
Pos2_Ch1_29012016_175333.hdf5,0,N2 100ug/ml Cisplatin,1,2,19
Pos2_Ch2_28012016_182629.hdf5,1,daf-2(e1370) N2 100ug/ml Cisplatin,2,2,20
Pos2_Ch2_29012016_175333.hdf5,0,daf-2(e1370) N2 100ug/ml Cisplatin,2,2,20
Pos2_Ch3_28012016_182629.hdf5,1,daf-16(mu86) 100ug/ml Cisplatin,3,2,18.8
Pos2_Ch3_29012016_175333.hdf5,0,daf-16(mu86) 100ug/ml Cisplatin,3,2,18.8
Pos2_Ch4_28012016_182629.hdf5,0,N2 100ug/ml Cisplatin,4,2,20.01
Pos2_Ch4_29012016_175333.hdf5,0,N2 100ug/ml Cisplatin,4,2,20.01
Pos2_Ch5_28012016_182629.hdf5,2,daf-2(e1370) N2 100ug/ml Cisplatin,5,2,19.9
Pos2_Ch5_29012016_175333.hdf5,0,daf-2(e1370) N2 100ug/ml Cisplatin,5,2,19.9
Pos2_Ch6_28012016_182629.hdf5,0,daf-16(mu86) 100ug/ml Cisplatin,6,2,19.9
Pos2_Ch6_29012016_175333.hdf5,0,daf-16(mu86) 100ug/ml Cisplatin,6,2,19.9
Pos3_Ch1_28012016_175431.hdf5,2,N2 100ug/ml Cisplatin,1,3,19
Pos3_Ch1_29012016_172242.hdf5,0,N2 100ug/ml Cisplatin,1,3,19
Pos3_Ch2_28012016_175431.hdf5,1,daf-2(e1370) N2 100ug/ml Cisplatin,2,3,20
Pos3_Ch2_29012016_172242.hdf5,0,daf-2(e1370) N2 100ug/ml Cisplatin,2,3,20
Pos3_Ch3_28012016_175431.hdf5,1,daf-16(mu86) 100ug/ml Cisplatin,3,3,18.8
Pos3_Ch3_29012016_172242.hdf5,0,daf-16(mu86) 100ug/ml Cisplatin,3,3,18.8
Pos3_Ch4_28012016_175431.hdf5,0,N2 100ug/ml Cisplatin,4,3,20.01
Pos3_Ch4_29012016_172242.hdf5,0,N2 100ug/ml Cisplatin,4,3,20.01
Pos3_Ch5_28012016_175431.hdf5,1,daf-2(e1370) N2 100ug/ml Cisplatin,5,3,19.9
Pos3_Ch5_29012016_172242.hdf5,0,daf-2(e1370) N2 100ug/ml Cisplatin,5,3,19.9
Pos3_Ch6_28012016_175431.hdf5,0,daf-16(mu86) 100ug/ml Cisplatin,6,3,19.9
Pos3_Ch6_29012016_172242.hdf5,0,daf-16(mu86) 100ug/ml Cisplatin,6,3,19.9
Pos4_Ch1_28012016_172102.hdf5,0,N2 60ug/ml Cisplatin,1,4,19
Pos4_Ch1_29012016_165221.hdf5,0,N2 60ug/ml Cisplatin,1,4,19
Pos4_Ch2_28012016_172102.hdf5,0,daf-2(e1370) N2 60ug/ml Cisplatin,2,4,20
Pos4_Ch2_29012016_165221.hdf5,0,daf-2(e1370) N2 60ug/ml Cisplatin,2,4,20
Pos4_Ch3_28012016_172102.hdf5,0,daf-16(mu86) 60ug/ml Cisplatin,3,4,18.8
Pos4_Ch3_29012016_165221.hdf5,0,daf-16(mu86) 60ug/ml Cisplatin,3,4,18.8
Pos4_Ch4_28012016_172102.hdf5,0,N2 60ug/ml Cisplatin,4,4,20.01
Pos4_Ch4_29012016_165221.hdf5,0,N2 60ug/ml Cisplatin,4,4,20.01
Pos4_Ch5_28012016_172102.hdf5,0,daf-2(e1370) N2 60ug/ml Cisplatin,5,4,19.9
Pos4_Ch5_29012016_165221.hdf5,0,daf-2(e1370) N2 60ug/ml Cisplatin,5,4,19.9
Pos4_Ch6_28012016_172102.hdf5,0,daf-16(mu86) 60ug/ml Cisplatin,6,4,19.9
Pos4_Ch6_29012016_165221.hdf5,0,daf-16(mu86) 60ug/ml Cisplatin,6,4,19.9
Pos5_Ch1_28012016_165010.hdf5,1,N2 60ug/ml Cisplatin,1,5,19
Pos5_Ch1_29012016_161849.hdf5,0,N2 60ug/ml Cisplatin,1,5,19
Pos5_Ch2_28012016_165010.hdf5,0,daf-2(e1370) N2 60ug/ml Cisplatin,2,5,20
Pos5_Ch2_29012016_161849.hdf5,0,daf-2(e1370) N2 60ug/ml Cisplatin,2,5,20
Pos5_Ch3_28012016_165010.hdf5,0,daf-16(mu86) 60ug/ml Cisplatin,3,5,18.8
Pos5_Ch3_29012016_161849.hdf5,0,daf-16(mu86) 60ug/ml Cisplatin,3,5,18.8
Pos5_Ch4_28012016_165010.hdf5,0,N2 60ug/ml Cisplatin,4,5,20.01
Pos5_Ch4_29012016_161849.hdf5,0,N2 60ug/ml Cisplatin,4,5,20.01
Pos5_Ch5_28012016_165010.hdf5,0,daf-2(e1370) N2 60ug/ml Cisplatin,5,5,19.9
Pos5_Ch5_29012016_161849.hdf5,0,daf-2(e1370) N2 60ug/ml Cisplatin,5,5,19.9
Pos5_Ch6_28012016_165010.hdf5,1,daf-16(mu86) 60ug/ml Cisplatin,6,5,19.9
Pos5_Ch6_29012016_161849.hdf5,0,daf-16(mu86) 60ug/ml Cisplatin,6,5,19.9
Pos6_Ch1_28012016_161919.hdf5,0,N2 control,1,6,19
Pos6_Ch1_29012016_154801.hdf5,0,N2 control,1,6,19
Pos6_Ch2_28012016_161919.hdf5,0,daf-2(e1370) N2 control,2,6,20
Pos6_Ch2_29012016_154801.hdf5,0,daf-2(e1370) N2 control,2,6,20
Pos6_Ch3_28012016_161919.hdf5,0,daf-16(mu86) control,3,6,18.8
Pos6_Ch3_29012016_154801.hdf5,0,daf-16(mu86) control,3,6,18.8
Pos6_Ch4_28012016_161919.hdf5,0,N2 control,4,6,20.01
Pos6_Ch4_29012016_154801.hdf5,0,N2 control,4,6,20.01
Pos6_Ch5_28012016_161919.hdf5,0,daf-2(e1370) N2 control,5,6,19.9
Pos6_Ch5_29012016_154801.hdf5,0,daf-2(e1370) N2 control,5,6,19.9
Pos6_Ch6_28012016_161919.hdf5,0,daf-16(mu86) control,6,6,19.9
Pos6_Ch6_29012016_154801.hdf5,0,daf-16(mu86) control,6,6,19.9
Pos7_Ch1_28012016_154830.hdf5,0,N2 control,1,7,19
Pos7_Ch1_29012016_151720.hdf5,0,N2 control,1,7,19
Pos7_Ch2_28012016_154830.hdf5,0,daf-2(e1370) N2 control,2,7,20
Pos7_Ch2_29012016_151720.hdf5,0,daf-2(e1370) N2 control,2,7,20
Pos7_Ch3_28012016_154830.hdf5,0,daf-16(mu86) control,3,7,18.8
Pos7_Ch3_29012016_151720.hdf5,0,daf-16(mu86) control,3,7,18.8
Pos7_Ch4_28012016_154830.hdf5,0,N2 control,4,7,20.01
Pos7_Ch4_29012016_151720.hdf5,0,N2 control,4,7,20.01
Pos7_Ch5_28012016_154830.hdf5,0,daf-2(e1370) N2 control,5,7,19.9
Pos7_Ch5_29012016_151720.hdf5,0,daf-2(e1370) N2 control,5,7,19.9
Pos7_Ch6_28012016_154830.hdf5,0,daf-16(mu86) control,6,7,19.9
Pos7_Ch6_29012016_151720.hdf5,0,daf-16(mu86) control,6,7,19.9
