file_name,fogginess,exp_type,channel,camera_focus
CSTCTest_Ch1_24012016_192304.hdf5,0,Untreated Adult 5 worms/plate,,
CSTCTest_Ch1_24012016_195337.hdf5,1,Untreated Adult 10 worms/plate,,
CSTCTest_Ch1_24012016_202409.hdf5,1,Untreated Adult 10 worms/plate,,
CSTCTest_Ch1_24012016_205441.hdf5,2,Untreated larvae 5 worms/plate,,
CSTCTest_Ch1_24012016_212513.hdf5,2,Untreated larvae 10 worms/plate,,
CSTCTest_Ch1_24012016_215546.hdf5,2,Untreated larvae 10 worms/plate,,
CSTCTest_Ch1_25012016_012902.hdf5,1,Untreated Adult 5 worms/plate,,
CSTCTest_Ch1_25012016_015934.hdf5,1,Untreated Adult 10 worms/plate,,
CSTCTest_Ch1_25012016_023006.hdf5,2,Untreated Adult 10 worms/plate,,
CSTCTest_Ch1_25012016_030038.hdf5,2,Untreated larvae 5 worms/plate,,
CSTCTest_Ch1_25012016_033111.hdf5,2,Untreated larvae 10 worms/plate,,
CSTCTest_Ch1_25012016_040143.hdf5,2,Untreated larvae 10 worms/plate,,
CSTCTest_Ch2_24012016_192304.hdf5,0,Adult 60ug/ml cisplatin 5 worms/plate,,
CSTCTest_Ch2_24012016_195337.hdf5,0,Adult 60ug/ml cisplatin 10 worms/plate,,
CSTCTest_Ch2_24012016_202409.hdf5,1,Adult 60ug/ml cisplatin 10 worms/plate,,
CSTCTest_Ch2_24012016_205441.hdf5,1,larvae 60ug/ml cisplatin 5 worms/plate,,
CSTCTest_Ch2_24012016_212513.hdf5,2,larvae 60ug/ml cisplatin 10 worms/plate,,
CSTCTest_Ch2_24012016_215546.hdf5,2,larvae 60ug/ml cisplatin 10 worms/plate,,
CSTCTest_Ch2_25012016_012902.hdf5,2,Adult 60ug/ml cisplatin 5 worms/plate,,
CSTCTest_Ch2_25012016_015934.hdf5,1,Adult 60ug/ml cisplatin 10 worms/plate,,
CSTCTest_Ch2_25012016_023006.hdf5,2,Adult 60ug/ml cisplatin 10 worms/plate,,
CSTCTest_Ch2_25012016_030038.hdf5,2,larvae 60ug/ml cisplatin 5 worms/plate,,
CSTCTest_Ch2_25012016_033111.hdf5,2,larvae 60ug/ml cisplatin 10 worms/plate,,
CSTCTest_Ch2_25012016_040143.hdf5,2,larvae 60ug/ml cisplatin 10 worms/plate,,
CSTCTest_Ch3_24012016_192304.hdf5,0,Adult 100ug/ml cisplatin 5 worms/plate,,
CSTCTest_Ch3_24012016_195337.hdf5,1, Adult 100ug/ml cisplatin 10 worms/plate,,
CSTCTest_Ch3_24012016_202409.hdf5,1, Adult 100ug/ml cisplatin 10 worms/plate,,
CSTCTest_Ch3_24012016_205441.hdf5,1,larvae 100ug/ml cisplatin 5 worms/plate,,
CSTCTest_Ch3_24012016_212513.hdf5,2,larvae 100ug/ml cisplatin 10 worms/plate,,
