sub-extended feature ID,feature_type,feature_category,feature_field,Feature Name,feature_field_correct,type,category,feature,sub_feature,body_part,aspect,index,extraneous add-on (to be removed),Notes,old_feature_field,name,short_name,bin_width,is_signed,is_zero_bin,units,sub_field,old_sub_field,signed_field,remove_partial_events,make_zero_if_empty,is_time_series,multiplier,Module,Class Name,Flags,is_feature
1,simple,Path,path.duration.worm.times,path.duration.worm,path.duration.worm.times,simple,path,duration,,worm,,,times,,,Worm Dwelling,Worm,1,0,0,seconds,,,,,,0,1,path_features,DurationFeature,worm,y
2,simple,Path,path.duration.head.times,path.duration.head,path.duration.head.times,simple,path,duration,,head,,,times,,,Head Dwelling,Head,0.5,0,0,seconds,,,,,,0,1,path_features,DurationFeature,head,y
3,simple,Path,path.duration.midbody.times,path.duration.midbody,path.duration.midbody.times,simple,path,duration,,midbody,,,times,,,Midbody Dwelling,Midbody,1,0,0,seconds,,,,,,0,1,path_features,DurationFeature,midbody,y
4,simple,Path,path.duration.tail.times,path.duration.tail,path.duration.tail.times,simple,path,duration,,tail,,,times,,,Tail Dwelling,Tail,0.5,0,0,seconds,,,,,,0,1,path_features,DurationFeature,tail,y
5,movement,Morphology,morphology.length,morphology.length,morphology.length,movement,morphology,length,,,,,,,morphology.length,Length,Length,1,0,0,Microns,,,,,,1,4,morphology_features,Length,,y
6,movement,Morphology,morphology.width.head,morphology.width.head,morphology.width.head,movement,morphology,width,,head,,,,,morphology.width.head,Head Width,Head,1,0,0,Microns,,,,,,1,4,morphology_features,WidthSection,head,y
7,movement,Morphology,morphology.width.midbody,morphology.width.midbody,morphology.width.midbody,movement,morphology,width,,midbody,,,,,morphology.width.midbody,Midbody Width,Midbody,1,0,0,Microns,,,,,,1,4,morphology_features,WidthSection,midbody,y
8,movement,Morphology,morphology.width.tail,morphology.width.tail,morphology.width.tail,movement,morphology,width,,tail,,,,,morphology.width.tail,Tail Width,Tail,1,0,0,Microns,,,,,,1,4,morphology_features,WidthSection,tail,y
9,movement,Morphology,morphology.area,morphology.area,morphology.area,movement,morphology,area,,,,,,,morphology.area,Area,Area,100,0,0,Microns^2,,,,,,1,4,morphology_features,Area,,y
10,movement,Morphology,morphology.area_per_length,morphology.area_per_length,morphology.area_per_length,movement,morphology,area_per_length,,,,,,,morphology.areaPerLength,Area/Length,Area/Length,0.1,0,0,Microns,,,,,,1,4,morphology_features,AreaPerLength,,y
